path	owner	disposition	reason	sha256
.harness/changesets/run_0000000000_seed_symphony_index.changeset.jsonl	shared-migration	archive	mixed file requires operation-level export at US-097	58daf1fabbfa0313f1603b2fd7f3e90bde153d351570e546f3b9a44347d4a0c7
.harness/changesets/run_0000000002_retire_stale_symphony_docs.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	da213ecb14f68a20d8ac23a994f06203dfdfe12a3911b7ae4fa71b72d1f5fdf5
.harness/changesets/run_1782473523_99206.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	c50a5f7d8df40d5085a74d94dea167090e7269495e9451be7844b44586beced5
.harness/changesets/run_1782536604_52965.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	ae793dd43058e5426035757239a0cb1f8634d8a45274b099736cfadbb852d51b
.harness/changesets/run_1782543459_701.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	ff411b34a1dca3e49ce4945a4a2e79571aff1793cde82d86cc9abafc21868477
.harness/changesets/run_1782550121_26667.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	d905799aa189655ab48bb8e2cbd0261fa5f5ed80fcdda8e9863d0bfb0c9d6e7a
.harness/changesets/run_1783163412740491000_6614_1.changeset.jsonl	shared-migration	archive	mixed file requires operation-level export at US-097	14bbe5f69745d4176e97909067c2dd1bdf35a2588f21f62fb3a4fde6553a938a
.harness/changesets/run_1783164291664744000_6614_2.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	0557868b78128a701480e16347a27fb019fec1cbc3214b339e7d270c8d1d49bf
.harness/changesets/run_1783178537862657000_95182_0.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	cd605cf45c8c0842a0e74488293286a64893b2c51707f066bd73ddc66e8f7da7
.harness/changesets/run_1783179886029971000_7111_0.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	623d72354d0c15612f091857cd9f0f4493590698f988d39e7469d19d7ded2adf
.harness/changesets/run_1783224245101133000_18033_0.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	f505b112eb5bdc72e8798c58e4626bbe24156e4217f05a5fde19e39d4c2bf66f
.harness/changesets/run_1783399293702861000_us069.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	143c6e661cc0b5818aa9175796fcd6d81f5e174d4ecc75a706ee6268f128f722
.harness/changesets/run_1783405248236036000_24617_0.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	b0c10372623c2f5cea8d27d768043b2b5a9808f1bf5aac76f558f4a94194f607
.harness/changesets/run_1783523200000000000_us071.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	b06b2a05508275a9b338ec883409199a8d25aaea45bff756c7543e74d80a1092
.harness/changesets/run_1783530000000000000_impeccable_tool.changeset.jsonl	symphony	archive	exact Symphony-owned changeset list	d9317344974f23432f8580ed6e0257b95b57075b74948f8fab148fd37624b80d
.harness/changesets/run_1783610000000000000_us072.changeset.jsonl	shared-migration	archive	mixed file requires operation-level export at US-097	8db16a8ef54c7127116823031facc39f37c2809605f7c51fde48fd9144150eb9
.harness/changesets/run_1783670632_e09_planning.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	f69126b2e598f7238b3080dac2c47cb19201da198afcc969bd5c5016729dd6fd
.harness/changesets/run_1783676834844503000_28702_0.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	bf08affbe7bc68eaa8a6d8d11dc13b8c0dd25e944607c4f08a0d19ed9bd6c407
.harness/changesets/run_1783680342594999000_45616_0.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	d0e5ba3ac24036e40e77694dd7d9e34c4b878368f0ffb23f257a53f215657e0e
.harness/changesets/run_1783682363_us075_selective_proposal_decision.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	954b46ababfdb5976e918461a9666649d3ac1456c1151e1b4d6cd54ae368212c
.harness/changesets/run_1783685000000000000_us076_story_backlog_relationships.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	8272e1a3aaf1fc89396a441eafbabc899f49ab879345fc8a1ee924c80a7d0686
.harness/changesets/run_1783692800000000000_us081_validation_subprocess_quarantine.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	80c4ba6cca61f7e5578553ca632a3d3ded2bcc6c600cbb6312c5003adbb54f78
.harness/changesets/run_1783698675355923000_95563_0.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	00b5c1b70bd698dc7d47ff73d75ce7756d36b5b4737665c2deaa5591f9a0e137
.harness/changesets/run_1783699620299211000_2829_0.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	3d1bcd08f27b9b8dbafe131f96e2305e1499bb7df3de2e9a26bd817dfd97d093
.harness/changesets/run_1783700451018024000_10445_0.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	04b85ee5516f05522235d6d2f87faa5995f5f4d1a50933d68f435f598fbc9d86
.harness/changesets/run_1783702000000000000_us077_completion_closure.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	67b7bb734709226fcd8496f484346adb6839e6d0213cbf95635afdb83f5df691
.harness/changesets/run_1783741281_us082_review_finding_closure.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	692e1e6f902ec09a5bafb0caeea07e5cfafc86db482a25d5d49f546f87c086e8
.harness/changesets/run_1783741400_e09_proof_parity.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	90c130c68ea41cf6b0cead87d3f36dd54208dfe306a8521f983ae222c62071be
.harness/changesets/run_1783743300_us083_post_review_closure.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	3857fb934fe85ea393b3a6ea9e288ac6032b33294e2f80bf540ad6cc216c24c1
.harness/changesets/run_1783744000_us084_proof_audit_closure.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	9e8e560757fe9115435830bf4cec837feb82316904a6a9dd5d34ab2c700a7d83
.harness/changesets/run_1783745900_us085_semantic_integrity.changeset.jsonl	repository-harness	archive	exact core-owned legacy changeset list	222bb9e1ae74d3ca08c2b260f6779a0863f08292abd64a3f7d2b0d7fc826259e
.harness/changesets/run_1783785600_e11_symphony_repository_separation_planning.changeset.jsonl	repository-harness	archive	transitional E11 planning log archived at US-097	ec163e9ad12edb432ec8ce16a810b115f1a2bd5c8fde942c11c926f62c1c9eef
