status	path	disposition	reason
A	.harness/changesets/run_1783785600_e11_symphony_repository_separation_planning.changeset.jsonl	planning-control	E11 planning evidence; not extraction input
A	docs/decisions/0009-separate-symphony-product-repository.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/README.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-089-separation-boundary-and-frozen-baselines/design.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-089-separation-boundary-and-frozen-baselines/execplan.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-089-separation-boundary-and-frozen-baselines/overview.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-089-separation-boundary-and-frozen-baselines/validation.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-090-provenance-preserving-symphony-bootstrap/design.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-090-provenance-preserving-symphony-bootstrap/execplan.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-090-provenance-preserving-symphony-bootstrap/overview.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-090-provenance-preserving-symphony-bootstrap/validation.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-091-standalone-symphony-workspace.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-092-machine-readable-harness-orchestration-contract/design.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-092-machine-readable-harness-orchestration-contract/execplan.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-092-machine-readable-harness-orchestration-contract/overview.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-092-machine-readable-harness-orchestration-contract/validation.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-093-symphony-harness-protocol-adapter/design.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-093-symphony-harness-protocol-adapter/execplan.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-093-symphony-harness-protocol-adapter/overview.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-093-symphony-harness-protocol-adapter/validation.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-094-symphony-product-docs-and-optional-tooling-migration.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-095-cross-repository-standalone-parity-suite.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-096-standalone-symphony-packaging-and-release-candidate.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-097-durable-history-and-local-state-partition/design.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-097-durable-history-and-local-state-partition/execplan.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-097-durable-history-and-local-state-partition/overview.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-097-durable-history-and-local-state-partition/validation.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-098-harness-only-repository-cleanup/design.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-098-harness-only-repository-cleanup/execplan.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-098-harness-only-repository-cleanup/overview.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-098-harness-only-repository-cleanup/validation.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-099-harness-core-regression-closure.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-100-cutover-and-post-separation-audit/design.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-100-cutover-and-post-separation-audit/execplan.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-100-cutover-and-post-separation-audit/overview.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/US-100-cutover-and-post-separation-audit/validation.md	planning-control	E11 planning evidence; not extraction input
A	docs/stories/epics/E11-symphony-repository-separation/migration-manifest.md	planning-control	E11 planning evidence; not extraction input
M	docs/stories/epics/README.md	planning-control	E11 planning evidence; not extraction input
